Feature,Coefficient,Abs_Coefficient,Odds_Ratio
cp,0.27228408510118945,0.27228408510118945,1.3129599406929486
exang,-0.21710068165487614,0.21710068165487614,0.8048489317032008
oldpeak,-0.2091056988622075,0.2091056988622075,0.8113094766225987
thal,-0.2071271924614366,0.2071271924614366,0.8129162465932983
thalach,0.18727090208780453,0.18727090208780453,1.2059539362418061
ca,-0.1840605126904711,0.1840605126904711,0.8318854626760376
slope,0.16868463974248388,0.16868463974248388,1.1837467733674516
sex,-0.15581155697019258,0.15581155697019258,0.8557204297287709
chol,-0.0783994887100166,0.0783994887100166,0.9245949874962457
age,-0.07247790988737723,0.07247790988737723,0.930086292144294
restecg,0.06924066296616582,0.06924066296616582,1.071694095195063
trestbps,-0.057147564254370876,0.057147564254370876,0.944454691330855
fbs,-0.01010335076898723,0.01010335076898723,0.9899475166248822
